stamp_sec,stamp_nanosec,x,y,yaw
15,94000000,-1.4999384784407948,-1.4999996642394275,1.911473642970353e-05
15,128000000,-1.4999385099983145,-1.499999676817716,1.917018975774727e-05
15,162000000,-1.4999385869861463,-1.4999996909133881,1.9219763628211147e-05
15,196000000,-1.499938635929043,-1.499999665631396,1.924841494822972e-05
15,230000000,-1.4999386077456474,-1.4999996397091773,1.9272383644596026e-05
15,264000000,-1.499938592515432,-1.499999620542264,1.9307084923206447e-05
15,298000000,-1.499938583538157,-1.499999614255797,1.934536618238387e-05
15,332000000,-1.4999385226690192,-1.4999996892432814,1.9434068098013703e-05
15,366000000,-1.4999385137398271,-1.4999997824828455,1.9537810636538038e-05
15,400000000,-1.499938551082969,-1.4999998621406827,1.9629045467078302e-05
15,434000000,-1.4999385857026137,-1.4999999085569697,1.97008170159255e-05
15,468000000,-1.4999386164851063,-1.4999998131401184,1.9688371879820437e-05
15,502000000,-1.499938669543252,-1.4999996726685356,1.963775350092683e-05
15,536000000,-1.499938596861583,-1.499999563142248,1.9613195415596987e-05
15,570000000,-1.4999385815422792,-1.499999507154336,1.9619296148684714e-05
15,604000000,-1.4999385335014503,-1.4999996011230112,1.9722224679118404e-05
15,638000000,-1.499938517106044,-1.4999997334288344,1.9851615029793302e-05
15,672000000,-1.4999385475615723,-1.4999998464592192,1.9962796343459626e-05
15,706000000,-1.4999385876304316,-1.4999998941283466,2.00401114789742e-05
15,740000000,-1.4999386109764512,-1.4999998007961697,2.0024483218689776e-05
15,774000000,-1.499938643619626,-1.499999688083295,1.999364876762048e-05
15,808000000,-1.4999386413504758,-1.4999996018831134,1.9984228516309137e-05
15,842000000,-1.4999385358306918,-1.4999995900980456,2.001627469277173e-05
15,876000000,-1.4999384539568819,-1.4999995852257493,2.005907084427661e-05
15,910000000,-1.499938470163318,-1.4999995815481475,2.0102901162324567e-05
15,944000000,-1.4999384923166672,-1.499999674950638,2.0200576019176845e-05
15,978000000,-1.499938578256517,-1.4999997765446131,2.0311042745006064e-05
16,12000000,-1.4999386667718673,-1.499999840149816,2.03902242764731e-05
16,46000000,-1.499938692647122,-1.4999997783251016,2.0395520956959287e-05
16,80000000,-1.4999386499234724,-1.4999996474535284,2.0351882224329766e-05
16,114000000,-1.4999386276158548,-1.4999995504512982,2.033746424203636e-05
16,148000000,-1.4999385983195614,-1.4999995250501952,2.0364147919611262e-05
16,182000000,-1.4999385764107096,-1.499999596480271,2.0453268616438648e-05
16,216000000,-1.4999385708370292,-1.499999670060088,2.0545145383019067e-05
16,250000000,-1.4999384279536285,-1.4999997391856337,2.0625747545833808e-05
16,284000000,-1.499938410964487,-1.4999997369380111,2.0674581142909452e-05
16,318000000,-1.4999384801021938,-1.49999968803403,2.0681437365161995e-05
16,352000000,-1.4999385924799504,-1.4999996518018202,2.070415857635537e-05
16,386000000,-1.499938681689711,-1.4999996245234,2.0729618196412583e-05
16,420000000,-1.4999387180052417,-1.4999996180419763,2.0769745491908806e-05
16,454000000,-1.4999387070956267,-1.4999996634083046,2.083883444059477e-05
16,488000000,-1.4999386231342406,-1.4999997041561839,2.0908780190702818e-05
16,522000000,-1.4999386315687806,-1.4999997414029496,2.0973964552948577e-05
16,556000000,-1.4999385877532265,-1.499999707523448,2.099832264807927e-05
16,590000000,-1.4999385403061138,-1.4999996420892658,2.099596739475739e-05
16,624000000,-1.4999385802211052,-1.4999995877124026,2.1012112046102537e-05
16,658000000,-1.499938492037954,-1.4999995527552632,2.1027423260194343e-05
16,692000000,-1.4999384495492065,-1.499999539540529,2.106276391595678e-05
16,726000000,-1.4999385057617842,-1.499999620440295,2.1157070001135054e-05
16,760000000,-1.4999386231351661,-1.4999997022265685,2.125270620071053e-05
16,794000000,-1.49993868817473,-1.4999997267455754,2.1309497428085422e-05
16,828000000,-1.4999387121897316,-1.4999996966175366,2.1337327572009234e-05
16,862000000,-1.4999387366192019,-1.4999996578371606,2.1354340572878167e-05
16,896000000,-1.4999386572075086,-1.4999996316325874,2.137851616836873e-05
16,930000000,-1.4999386381604727,-1.4999996118614962,2.1411942655980406e-05
16,964000000,-1.4999386657329583,-1.4999996006025234,2.1446716772578717e-05
16,998000000,-1.499938658372643,-1.4999996396802,2.1512129454447684e-05
17,32000000,-1.4999386255701574,-1.4999996854074615,2.1581658890275808e-05
17,66000000,-1.4999385823097093,-1.4999997043200026,2.1641646060099456e-05
17,100000000,-1.499938578528197,-1.4999996827178015,2.1670216125778313e-05
17,134000000,-1.499938528996132,-1.499999670877829,2.1705694459867172e-05
