stamp_sec,stamp_nanosec,x,y,yaw
20,123000000,-1.499938739205274,-1.499999572365278,2.5172550149693338e-05
20,157000000,-1.4999387604356014,-1.4999995981648013,2.523257368931276e-05
20,191000000,-1.4999387738936427,-1.4999996631211674,2.5317983630475565e-05
20,225000000,-1.499938779580862,-1.4999996711276304,2.5366740378729974e-05
20,259000000,-1.499938780913718,-1.499999633285297,2.5386409327130595e-05
20,293000000,-1.4999387983011396,-1.499999605432286,2.5410310179463697e-05
20,327000000,-1.4999386763904066,-1.4999995897788407,2.544212654539239e-05
20,361000000,-1.4999386497851506,-1.4999996337280719,2.5512874431504197e-05
20,395000000,-1.4999387039650511,-1.4999996777666578,2.558367083890582e-05
20,429000000,-1.4999387683681897,-1.499999705597083,2.564303257449465e-05
20,463000000,-1.4999387960157258,-1.4999996699115827,2.566517360269124e-05
20,497000000,-1.4999387857271793,-1.499999607097054,2.566855859494014e-05
20,531000000,-1.4999387644797306,-1.4999995610910561,2.5687065899777537e-05
20,565000000,-1.4999387604698682,-1.4999996159110796,2.575979623988325e-05
20,599000000,-1.499938738394814,-1.499999734019982,2.5879934178845717e-05
20,633000000,-1.4999387732908345,-1.499999836562534,2.5985258347052094e-05
20,667000000,-1.4999387534060646,-1.4999998449165048,2.603484537757037e-05
20,701000000,-1.4999387516456821,-1.4999996901864696,2.598024662191838e-05
20,735000000,-1.4999386792335927,-1.4999995321438482,2.5920383647367492e-05
20,769000000,-1.499938674347456,-1.499999454726675,2.59197526728023e-05
20,803000000,-1.4999387112788072,-1.4999994957297929,2.5988267009171327e-05
20,837000000,-1.4999387453094706,-1.4999996409259797,2.6120944734843735e-05
20,871000000,-1.4999387691769017,-1.49999974000173,2.6228195273853426e-05
20,905000000,-1.499938805823667,-1.4999997986420552,2.63042736134244e-05
20,939000000,-1.499938792129208,-1.4999997335640671,2.6308302287111744e-05
20,973000000,-1.4999387440639171,-1.4999996528959896,2.629701825275032e-05
21,7000000,-1.499938740497669,-1.4999995874445968,2.630514836464049e-05
21,41000000,-1.4999387478672963,-1.4999995858444137,2.63406335772074e-05
21,75000000,-1.4999387777011446,-1.4999996483327147,2.6430205180274666e-05
21,109000000,-1.4999386666359658,-1.499999708165833,2.650450248898306e-05
21,143000000,-1.4999386076011036,-1.4999997595708225,2.65809094080952e-05
21,177000000,-1.4999386391595126,-1.4999997701619374,2.6635503881470018e-05
21,211000000,-1.4999386970222925,-1.4999997627232038,2.6670483770357453e-05
21,245000000,-1.4999387921076528,-1.499999755652686,2.6710693930689955e-05
21,279000000,-1.4999388737005306,-1.4999997036441175,2.6721456416890604e-05
21,313000000,-1.4999388833520875,-1.4999996648535745,2.673748890702901e-05
21,347000000,-1.4999388509488294,-1.4999996013113277,2.6744115588740497e-05
21,381000000,-1.4999388028397649,-1.4999995724733772,2.676479236924232e-05
21,415000000,-1.49993877577569,-1.4999995794444325,2.6812081036199886e-05
21,449000000,-1.49993878433859,-1.4999996213843025,2.6883694453147026e-05
21,483000000,-1.4999387960851762,-1.4999996459830705,2.6941184900915676e-05
21,517000000,-1.4999388380502672,-1.499999633347383,2.6976667080036128e-05
21,551000000,-1.4999387893574687,-1.499999629083641,2.701504351176511e-05
21,585000000,-1.4999387859984952,-1.4999996264585813,2.7060750462331684e-05
21,619000000,-1.4999387833300297,-1.4999996618965292,2.7120938675747222e-05
21,653000000,-1.4999388028309142,-1.4999997081965868,2.719865297974221e-05
21,687000000,-1.4999388212007245,-1.4999997026602025,2.7236445508304918e-05
21,721000000,-1.4999388229551474,-1.4999996576818242,2.725317013382387e-05
21,755000000,-1.4999388183537337,-1.4999995678171454,2.7240607935174207e-05
21,789000000,-1.4999388117653778,-1.499999562860116,2.7273291631416232e-05
21,823000000,-1.4999388402066665,-1.4999996485072498,2.738005022800337e-05
21,857000000,-1.4999387406210962,-1.499999726131222,2.746168745499027e-05
21,891000000,-1.4999386594113033,-1.4999997931445919,2.7549015100198293e-05
21,925000000,-1.4999386818424634,-1.499999843966246,2.7626836997332367e-05
21,959000000,-1.4999387359223129,-1.4999998007692152,2.7646452454527118e-05
21,993000000,-1.4999387545466765,-1.4999996673408296,2.7603063769377064e-05
22,27000000,-1.4999387950670526,-1.499999564338727,2.7575110113123378e-05
22,61000000,-1.4999388263369755,-1.4999995400559314,2.760536941967565e-05
22,95000000,-1.499938847597533,-1.4999995927297782,2.7682342510148265e-05
22,129000000,-1.4999387918801517,-1.4999996522311334,2.7762002751826873e-05
